Rank,Player Name,Score,Member ID,Player ID,Public UID,ULID,Metadata
1,Miguel 222,37,61263545,61263545,467FEY3R6SLM,01KS52QRQX9XFX1M35PMMR60B7,
2,Unknown Player,18,60956161,60956161,MRL2LSS74DEK,01KRB1K3GEBJZXAQ0Q71M9NNM1,
3,Migs666,18,60949790,60949790,R3H3MK9JT2D6,01KRACPJ90M3FMSG46YQFDZ8KE,
4,Palamig22,17,61267013,61267013,3DMYK43LNT4M,01KS5FMZ94ZQTGHZ42HYD16PVQ,
5,Ron,1,60952327,60952327,77G7EEYF2S6N,01KRAJYNHS53EKCYZFSVPKJJQB,
6,Unknown Player,1,60950021,60950021,S7GMGMLC6AG3,01KRAD9C0SK6S8PS04ZEGEQEPC,
7,PalaMig422,1,60949903,60949903,9JS5PHH765LY,01KRAD1DFYD3V43MSVS0G5V69D,
